Squad;Competition;Poss%;Gls;G-PK;Ast;xG;xA;Gls/90;G-PK/90;Ast/90;xG/90;xA/90;GA;OG;GA/90;Save%;CS%;PSxG;PSxG/SoT;PSxG+/-;SoTA/90;SoTA/GA;Sh;Sh/90;SoT/90;SoT/G;G-xG;Passes%;ShortPasses%;MediumPasses%;LongPasses%;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;SCA/90;GCA/90;Press%;Tkl/90;Blocks/90;Int/90;Err/90;Touches/90;Dribbles/90;Dribbles%;Points/90;xGA/90;Aerial%;Recov/90;Fls/90
Alavés;La Liga;42.7;27;22;15;34.9;20.7;0.79;0.65;0.44;1.03;0.61;52;0;1.53;63.2;23.5;50.7;0.38;-1.3;3.91;2.56;288;8.47;2.38;3.68;-7.899999999999999;72.2;81.2;79.9;55.8;269.38;372.91;101.76;109.59;53.09;5798.21;2334.29;6.21;19.59;4.91;2.0;22.09;12.71;1.21;27.8;9.18;15.38;11.18;0.24;484.18;7.24;57.3;0.91;1.41;56.9;81.09;14.09
Athletic Club;La Liga;50.9;40;36;28;40.8;27.8;1.21;1.09;0.85;1.24;0.84;36;1;1.09;65.2;24.2;31.7;0.3;-3.3;2.7;2.47;363;11.0;3.7;3.39;-0.7999999999999972;77.5;84.5;84.3;63.1;366.82;473.21;134.58;158.36;67.94;7689.79;2621.52;8.15;29.85;8.36;2.18;34.79;18.0;2.24;28.8;9.06;14.76;8.79;0.12;576.42;8.55;59.5;1.27;0.91;53.2;84.45;13.33
Atlético Madrid;La Liga;52.7;59;54;49;45.0;32.3;1.74;1.59;1.44;1.32;0.95;22;3;0.65;79.0;50.0;26.8;0.25;7.8;2.94;4.55;391;11.5;4.65;2.93;14.0;82.3;90.0;87.3;62.4;449.53;546.41;196.41;179.62;63.53;8547.29;2774.74;8.68;32.94;9.62;1.56;38.97;18.47;3.15;30.6;12.06;15.68;10.26;0.09;657.65;9.56;61.4;2.24;0.86;55.1;83.0;13.0
Barcelona;La Liga;66.2;75;71;49;70.5;51.9;2.21;2.09;1.44;2.14;1.57;33;2;0.97;73.6;35.3;31.0;0.27;2.0;3.12;3.21;517;15.21;6.24;2.99;4.5;89.1;92.8;92.4;73.9;653.24;732.88;311.47;268.85;59.94;11233.0;3247.5;11.53;49.21;14.44;1.41;47.09;26.91;3.55;30.7;9.0;13.32;8.88;0.32;830.0;12.68;63.4;2.18;1.03;57.6;75.38;9.41
Betis;La Liga;54.9;43;37;32;39.5;25.5;1.26;1.09;0.94;1.2;0.77;46;3;1.35;65.8;35.3;42.9;0.33;0.9;3.35;2.48;395;11.62;3.88;3.57;3.5;82.0;90.1;87.7;62.1;421.21;513.44;179.26;170.82;61.85;8099.06;2549.44;8.62;27.06;8.06;2.21;29.29;19.39;2.0;29.4;10.18;13.38;11.32;0.24;621.71;9.18;61.3;1.5;1.2;48.4;79.03;13.71
Cádiz;La Liga;34.5;27;25;14;28.4;15.8;0.79;0.74;0.41;0.86;0.48;49;1;1.44;66.4;29.4;40.8;0.28;-7.2;3.59;2.49;269;7.91;2.62;3.56;-1.3999999999999986;67.6;81.5;77.6;47.0;209.71;310.12;79.97;82.15;43.26;4608.03;1876.15;4.74;17.38;4.12;1.59;17.21;10.85;1.3;27.0;9.85;15.82;10.56;0.29;416.5;8.21;63.1;1.18;1.4;46.5;77.0;11.53
Celta Vigo;La Liga;54.0;46;42;34;42.8;31.3;1.35;1.24;1.0;1.26;0.92;51;1;1.5;60.0;23.5;43.3;0.35;-6.7;3.38;2.25;322;9.47;3.68;2.98;3.200000000000003;79.8;87.3;87.0;58.9;405.26;507.91;160.21;177.79;59.24;7903.53;2466.47;6.94;25.0;7.21;1.29;30.94;15.59;2.44;28.7;10.59;16.21;9.65;0.21;618.47;7.82;59.1;1.29;1.21;46.5;84.56;16.71
Eibar;La Liga;49.1;26;23;18;36.2;23.3;0.76;0.68;0.53;1.07;0.69;46;0;1.35;63.6;23.5;44.4;0.35;-1.6;3.47;2.57;388;11.41;3.35;4.96;-10.200000000000003;70.4;83.2;78.2;51.6;303.79;431.47;113.82;121.71;62.82;6627.56;2425.53;7.62;27.62;6.53;2.74;27.26;16.29;1.18;31.8;9.44;14.62;10.09;0.24;544.09;9.15;61.0;0.76;1.3;47.9;105.91;13.53
Elche;La Liga;47.1;28;26;21;26.1;18.4;0.82;0.76;0.62;0.77;0.54;50;1;1.47;69.4;17.6;48.6;0.3;-0.4;4.32;2.94;226;6.65;2.24;2.92;1.8999999999999986;80.1;88.8;87.7;59.5;357.03;445.5;140.76;150.68;58.03;7191.53;2503.38;4.65;20.21;3.82;1.88;20.35;10.06;1.29;27.9;10.44;14.85;10.35;0.21;554.88;10.26;58.0;0.88;1.54;47.4;72.03;13.97
Getafe;La Liga;42.8;25;22;13;29.9;18.2;0.74;0.65;0.38;0.88;0.53;40;3;1.18;65.7;38.2;39.5;0.34;2.5;2.91;2.48;310;9.12;2.59;4.0;-4.899999999999999;67.3;80.5;74.5;47.8;239.29;355.71;96.88;89.44;47.0;5067.47;2088.44;6.44;23.21;6.24;2.53;25.0;14.85;1.18;27.4;10.18;14.53;10.32;0.15;469.65;6.56;54.0;1.0;1.11;46.2;92.59;16.97
Granada;La Liga;41.1;42;39;28;33.7;21.1;1.24;1.15;0.82;1.02;0.64;55;1;1.62;64.2;23.5;52.7;0.34;-0.3;4.03;2.49;320;9.41;3.18;2.77;8.299999999999997;69.8;82.1;79.2;49.7;232.82;333.44;85.71;98.91;44.29;5010.47;1981.5;5.62;20.09;4.85;1.62;21.53;13.21;1.88;26.8;9.68;15.97;10.06;0.24;439.65;7.71;58.0;1.32;1.36;45.4;79.79;14.21
Huesca;La Liga;47.4;30;27;21;31.9;21.2;0.88;0.79;0.62;0.94;0.62;50;1;1.47;65.4;20.6;44.6;0.31;-4.4;3.91;2.66;342;10.06;3.26;4.11;-1.8999999999999986;78.1;87.0;86.2;57.5;356.41;456.12;131.21;160.26;59.56;7308.18;2337.29;7.24;21.76;5.88;2.26;24.5;15.56;1.56;29.5;10.85;14.65;8.68;0.18;562.68;11.97;63.8;0.88;1.21;49.6;84.32;13.94
Levante;La Liga;52.1;37;34;27;37.4;25.3;1.09;1.0;0.79;1.1;0.74;48;2;1.41;69.4;11.8;46.8;0.31;0.8;4.32;3.06;337;9.91;3.26;3.26;-0.3999999999999986;79.4;87.9;86.4;60.1;371.79;468.41;146.5;158.06;60.97;7428.29;2578.82;7.06;27.29;8.41;2.59;35.53;15.41;1.82;28.4;10.03;14.47;11.24;0.32;578.97;10.24;61.6;1.12;1.42;46.7;79.74;13.32
Osasuna;La Liga;42.6;30;26;21;34.2;21.3;0.88;0.76;0.62;1.01;0.63;41;3;1.21;69.7;32.4;44.3;0.33;6.3;3.59;2.98;333;9.79;3.12;4.08;-4.200000000000003;69.5;79.5;76.4;54.1;267.59;385.06;100.74;105.74;55.88;5930.97;2569.38;6.74;25.21;6.62;2.56;26.85;14.03;1.41;29.0;9.18;14.53;9.44;0.09;495.47;6.53;54.1;1.18;1.25;56.5;96.26;14.24
