Squad;Competition;Poss%;Gls;G-PK;Ast;xG;xA;Gls/90;G-PK/90;Ast/90;xG/90;xA/90;GA;OG;GA/90;Save%;CS%;PSxG;PSxG/SoT;PSxG+/-;SoTA/90;SoTA/GA;Sh;Sh/90;SoT/90;SoT/G;G-xG;Passes%;ShortPasses%;MediumPasses%;LongPasses%;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;SCA/90;GCA/90;Press%;Tkl/90;Blocks/90;Int/90;Err/90;Touches/90;Dribbles%;Points/90;xGA/90;Aerial%;Recov/90;Fls/90
Alavés;La Liga;41.7;19;15;11;26.3;16.5;0.76;0.6;0.44;1.05;0.66;39;0;1.56;6240.0;24.0;36.5;0.37;-2.5;4.04;2.59;211;8.44;2.24;3.73;-7.300000000000001;71.2;79.7;78.7;55.4;260.4;365.68;97.12;106.48;52.0;5657.36;2315.28;6.2;18.96;4.68;1.88;22.2;12.96;1.28;28.6;9.64;15.92;10.44;0.28;475.76;55.1;0.88;1.41;57.4;83.4;14.36
Athletic Club;La Liga;51.8;33;29;23;30.7;19.7;1.32;1.16;0.92;1.23;0.79;29;1;1.16;6320.0;20.0;26.2;0.32;-1.8;2.72;2.34;271;10.84;3.72;3.21;2.3000000000000007;77.2;84.8;84.1;62.1;365.68;473.96;135.12;155.64;68.52;7665.32;2618.2;8.2;28.96;8.0;2.2;33.44;18.04;2.48;28.9;8.92;14.44;7.84;0.12;573.2;59.3;1.32;0.96;54.2;86.52;13.8
Atlético Madrid;La Liga;51.8;46;42;37;31.6;22.0;1.84;1.68;1.48;1.31;0.92;17;3;0.68;8000.0;48.0;18.4;0.24;5.4;3.2;4.71;286;11.44;4.36;2.6;14.399999999999999;81.8;89.5;87.3;60.5;425.44;520.12;185.52;172.2;57.88;8043.08;2621.12;8.32;31.32;8.52;1.44;36.64;18.33;3.38;31.0;12.2;15.44;9.64;0.12;625.64;60.3;2.36;0.78;53.6;81.68;13.2
Barcelona;La Liga;64.9;53;50;35;56.0;41.4;2.04;1.92;1.35;2.15;1.59;22;1;0.85;7710.0;42.3;25.0;0.27;4.0;3.19;3.77;395;15.19;6.23;3.24;-3.0;88.7;92.6;91.9;73.9;655.42;738.73;311.46;268.77;61.96;11323.0;3313.58;12.0;47.85;14.42;1.27;48.54;27.19;3.35;31.2;9.0;13.77;8.31;0.31;838.04;63.7;2.15;1.05;57.9;79.12;9.08
Betis;La Liga;55.4;33;29;25;30.5;19.8;1.32;1.16;1.0;1.22;0.79;38;3;1.52;6320.0;36.0;36.8;0.36;1.8;3.48;2.29;291;11.64;3.92;3.38;2.5;81.4;89.8;87.0;61.0;430.24;528.32;184.6;172.52;63.36;8271.4;2646.92;8.68;28.28;7.72;2.12;30.16;19.08;2.0;29.7;10.44;13.76;11.2;0.24;641.48;57.9;1.56;1.33;49.0;85.2;13.96
Cádiz;La Liga;33.5;21;20;12;22.6;13.2;0.81;0.77;0.46;0.87;0.51;41;1;1.58;6210.0;26.9;31.4;0.29;-8.6;3.65;2.32;205;7.88;2.69;3.5;-1.6000000000000014;67.4;80.9;77.2;47.1;212.65;315.5;80.81;83.5;43.96;4680.23;1909.58;4.73;18.23;4.38;1.69;17.96;10.69;1.27;27.5;10.58;16.42;10.81;0.31;424.31;60.5;1.08;1.35;46.0;80.31;11.85
Celta Vigo;La Liga;53.6;34;31;23;31.9;22.8;1.31;1.19;0.88;1.28;0.91;40;1;1.54;5800.0;19.2;31.7;0.36;-4.3;3.38;2.2;248;9.54;3.65;3.06;2.1000000000000014;79.9;86.9;87.1;60.7;392.58;491.46;152.42;172.73;59.69;7736.12;2419.19;6.69;23.65;7.08;1.46;29.77;15.76;2.12;29.7;10.65;15.0;8.62;0.15;596.88;60.7;1.27;1.06;48.7;83.04;16.58
Eibar;La Liga;48.9;20;17;13;28.9;19.1;0.77;0.65;0.5;1.11;0.74;29;0;1.12;6790.0;26.9;30.8;0.34;1.8;3.12;2.79;301;11.58;3.23;4.94;-8.899999999999999;68.8;81.8;76.4;50.2;290.58;422.42;109.35;115.62;60.08;6340.19;2411.35;7.77;27.46;6.77;2.92;27.85;16.35;1.19;32.2;9.62;14.42;8.65;0.19;535.04;62.1;0.85;1.21;47.3;111.62;14.46
Elche;La Liga;47.4;23;21;16;18.7;12.7;0.92;0.84;0.64;0.75;0.51;37;0;1.48;6990.0;20.0;36.9;0.3;-0.1;4.52;3.05;162;6.48;2.08;2.48;4.300000000000001;80.8;89.0;88.4;60.0;372.68;460.96;149.52;156.32;58.2;7374.48;2502.64;4.36;18.96;3.36;1.6;19.88;9.56;1.4;29.1;10.84;15.24;10.08;0.24;569.44;59.1;0.96;1.66;47.6;72.92;13.6
Getafe;La Liga;44.3;21;19;11;20.4;13.2;0.81;0.73;0.42;0.78;0.51;32;1;1.23;6400.0;34.6;29.2;0.33;-1.8;2.88;2.34;219;8.42;2.46;3.37;0.6000000000000014;68.3;80.5;75.8;49.1;252.96;370.27;100.54;96.85;49.42;5352.92;2117.27;6.0;24.15;5.73;2.19;25.23;13.69;1.19;28.8;10.15;14.81;10.0;0.15;480.31;55.4;1.04;1.16;46.4;93.5;17.38
Granada;La Liga;41.3;31;29;21;26.3;17.4;1.19;1.12;0.81;1.01;0.67;44;1;1.69;6110.0;26.9;43.1;0.36;0.1;4.15;2.45;254;9.77;3.27;2.93;4.699999999999999;69.5;81.8;79.0;49.6;241.27;346.92;87.04;104.12;46.08;5199.23;2042.0;5.92;20.54;4.96;1.73;22.08;13.38;1.88;28.4;9.19;16.77;9.85;0.31;457.19;56.7;1.27;1.37;44.8;84.96;13.81
Huesca;La Liga;47.7;24;23;18;22.5;15.5;0.92;0.88;0.69;0.9;0.62;40;0;1.54;6440.0;15.4;34.0;0.33;-2.0;3.88;2.52;275;10.58;3.62;4.09;1.5;77.9;86.6;85.6;57.5;345.73;443.73;128.46;155.35;56.92;7028.38;2262.69;7.38;21.12;5.62;1.88;24.12;16.08;1.44;30.1;10.46;14.81;7.69;0.19;546.08;63.9;0.77;1.27;49.1;83.69;14.38
Levante;La Liga;52.8;34;31;25;31.4;20.9;1.31;1.19;0.96;1.26;0.84;35;0;1.35;7220.0;7.7;33.9;0.29;-0.1;4.42;3.29;266;10.23;3.73;3.13;2.6000000000000014;79.5;87.5;86.4;60.9;361.42;454.77;141.81;153.85;59.85;7235.88;2508.69;7.08;26.46;8.42;2.54;34.19;16.12;2.28;28.8;9.54;14.31;10.0;0.15;559.77;62.7;1.23;1.27;45.9;77.58;13.58
Osasuna;La Liga;41.7;23;21;16;25.1;17.3;0.88;0.81;0.62;0.97;0.66;35;2;1.35;6670.0;26.9;36.9;0.35;3.9;3.58;2.66;255;9.81;3.19;3.95;-2.1000000000000014;69.0;79.3;76.0;54.0;263.88;382.23;98.31;104.35;56.42;5907.65;2588.12;6.77;25.31;6.58;2.62;26.23;14.08;1.35;29.1;9.27;14.08;8.58;0.12;490.35;51.3;1.08;1.28;57.0;97.73;14.19
Real Madrid;La Liga;60.5;41;39;33;39.2;28.9;1.58;1.5;1.27;1.57;1.16;21;1;0.81;7970.0;42.3;21.2;0.23;2.2;2.85;3.52;361;13.88;4.31;2.87;1.7999999999999972;86.5;92.4;91.1;72.2;532.38;615.46;230.23;212.58;80.54;10211.96;2970.54;10.54;41.19;10.88;2.19;39.31;22.64;2.8;30.4;10.31;13.62;9.92;0.35;712.96;65.9;2.08;0.95;53.9;72.08;10.69
Real Sociedad;La Liga;55.7;42;35;26;41.4;26.1;1.62;1.35;1.0;1.66;1.04;21;0;0.81;6780.0;42.3;18.2;0.27;-2.8;2.27;2.81;296;11.38;3.88;2.89;0.6000000000000014;79.1;86.1;85.9;60.9;380.85;481.31;148.12;169.62;56.35;7518.08;2379.77;7.04;28.15;9.38;1.62;32.65;17.0;2.72;30.3;8.92;13.15;6.69;0.12;578.46;59.9;1.73;0.81;50.4;86.54;15.23
Sevilla;La Liga;61.9;34;30;24;31.9;22.0;1.36;1.2;0.96;1.28;0.88;20;2;0.8;7530.0;44.0;19.2;0.24;1.2;3.08;3.85;292;11.68;3.28;2.73;2.1000000000000014;84.5;91.1;89.9;66.8;505.44;598.2;194.64;224.36;78.16;10099.84;2946.36;9.48;33.92;9.76;3.12;34.4;20.6;2.36;33.1;10.76;13.44;7.8;0.16;700.96;68.0;1.92;0.93;54.1;80.8;13.64
Valencia;La Liga;46.7;30;24;21;29.7;18.2;1.15;0.92;0.81;1.14;0.7;36;2;1.38;7170.0;19.2;36.1;0.29;2.1;4.35;3.14;266;10.23;3.27;3.54;0.3000000000000007;77.8;86.2;84.9;60.4;334.0;429.27;123.42;144.31;60.62;7047.65;2455.5;6.92;25.88;6.65;1.96;28.35;16.15;2.08;27.1;8.58;16.42;6.81;0.35;539.42;58.7;1.15;1.43;50.2;81.12;12.69
