Player;Squad;League;Age;MP;Min;Pos;Gls;G-PK;Ast;xG;xA;Gls/90;G-PK/90;Ast/90;xG/90;xA/90;Sh;Sh/90;SoT/90;Passes%;ShortPasses%;MediumPasses%;LongPasses%;Press%;Tkl/90;Blocks/90;Int/90;Err/90;Touches/90;Dribbles/90;Dribbles%;SCA/90;GCA/90;Aerial%;Points/90;xGA/90;OG;PSxG;PSxG/SoT;PSxG+/-;GA;GA/90;Save%;CS%;SoTA/90;SoTA/GA;SoT/G;G-xG;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;Recov/90;Fls/90
Sabit Abdulai;Getafe;La Liga;21;2;51;MF;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;63.6;100.0;80.0;33.3;30.8;0.0;0.0;0.5;0.0;7.0;0.5;50.0;0.0;0.0;0.0;0.5;0.75;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5;5.5;1.0;2.0;0.5;66.5;4.5;0.0;0.0;0.5;0.0;0.5;2.0;0.0
Marcos Acuña;Sevilla;La Liga;29;26;2028;DF;1;1;2;1.0;2.4;0.04;0.04;0.09;0.04;0.11;13;0.58;0.09;79.6;90.0;86.7;54.3;34.9;1.65;1.35;0.85;0.0;65.88;1.23;65.3;2.13;0.18;38.3;2.12;0.8;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;45.5;57.15;17.65;20.88;6.5;902.42;367.15;1.12;3.35;1.15;0.62;4.04;7.54;1.5
Bobby Adekanye;Cádiz;La Liga;22;3;36;FW,MF;0;0;0;0.2;0.0;0.0;0.0;0.0;0.43;0.0;1;2.5;0.0;70.0;100.0;75.0;0.0;20.0;0.0;0.33;0.0;0.0;6.0;0.33;50.0;0.0;0.0;0.0;2.33;0.4;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;-0.2;2.33;3.33;1.0;1.0;0.0;33.0;0.33;0.0;0.0;0.0;0.0;0.0;1.33;0.33
Martin Agirregabiria;Alavés;La Liga;24;22;1284;DF,MF;0;0;1;0.2;0.9;0.0;0.0;0.07;0.01;0.06;2;0.14;0.0;73.0;86.4;76.7;48.0;29.4;0.55;1.09;1.41;0.05;32.41;0.09;40.0;1.33;0.14;39.4;1.0;1.01;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;-0.2;19.45;26.64;8.64;8.23;2.18;362.95;168.73;0.5;1.55;0.59;0.36;1.64;4.36;0.91
Joseph Aidoo;Celta Vigo;La Liga;25;22;1131;DF;0;0;0;0.6;0.6;0.0;0.0;0.0;0.05;0.05;7;0.56;0.0;83.3;91.2;89.8;69.4;33.3;0.77;0.77;0.59;0.09;32.0;0.23;83.3;0.72;0.16;51.9;1.59;0.79;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;-0.6;20.68;24.82;4.68;12.0;3.91;460.0;137.91;0.09;1.55;0.09;0.0;1.77;6.23;0.55
Carlos Akapo;Cádiz;La Liga;28;9;576;DF;0;0;0;0.0;0.3;0.0;0.0;0.0;0.0;0.04;0;0.0;0.0;69.0;85.9;72.4;40.0;29.5;1.0;2.33;0.67;0.22;33.67;0.89;88.9;0.47;0.0;70.6;1.33;0.77;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.78;25.78;7.44;7.89;2.22;336.11;147.11;0.22;0.67;0.56;0.33;1.11;6.67;0.89
Paul Akouokou;Betis;La Liga;23;10;378;MF;0;0;0;0.0;0.4;0.0;0.0;0.0;0.0;0.08;0;0.0;0.0;91.8;92.2;96.5;78.6;26.7;0.8;0.6;0.6;0.0;21.6;0.3;75.0;1.19;0.0;50.0;1.5;0.44;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.8;18.3;5.9;8.3;2.2;324.8;59.0;0.2;1.4;0.1;0.1;0.6;3.7;1.1
Jony Álamo;Elche;La Liga;19;1;73;MF;0;0;0;0.0;0.0;0.0;0.0;0.0;0.02;0.0;1;1.23;0.0;87.5;100.0;88.9;100.0;44.4;1.0;1.0;0.0;0.0;25.0;1.0;100.0;1.23;1.23;0.0;1.0;0.7;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;16.0;3.0;8.0;2.0;289.0;41.0;0.0;1.0;0.0;0.0;0.0;7.0;0.0
Jordi Alba;Barcelona;La Liga;32;29;2530;DF;3;3;5;1.9;6.6;0.11;0.11;0.18;0.07;0.24;21;0.75;0.39;85.8;92.2;86.7;66.2;29.0;0.72;1.9;1.24;0.0;90.9;0.48;45.2;2.56;0.32;25.0;2.31;1.04;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;3.67;1.1;71.17;82.93;38.9;26.66;4.66;1130.86;355.86;1.48;3.72;2.21;0.55;5.86;8.59;0.66
Raúl Albiol;Villarreal;La Liga;35;31;2755;DF;0;0;0;0.6;0.1;0.0;0.0;0.0;0.02;0.0;8;0.26;0.03;89.3;92.2;93.7;81.0;40.8;0.52;1.35;0.71;0.03;66.65;0.16;55.6;0.26;0.0;55.1;1.39;1.06;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;-0.6;52.23;58.48;11.0;27.9;13.06;1237.35;350.65;0.06;2.9;0.13;0.0;3.13;9.0;0.35
